time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,
1414696041887,-1.00,0.00,59.26,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.55,0.98,3.21,False,5,0,0,750.00,System,0.21,1.90,0.5,180.00,
1414696042209,-1.00,0.00,4.26,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.55,0.99,1.93,False,5,0,0,750.00,System,0.11,0.76,0.5,180.00,
1414696042330,-1.00,0.00,23.44,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.32,1.02,0.79,False,5,0,0,750.00,System,0.06,0.31,0.5,180.00,
1414696042441,1.00,0.00,6.73,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.28,1.02,0.31,False,7,0,0,750.00,System,0.06,0.14,0.5,180.00,
1414696042561,-1.00,0.00,13.23,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.14,1.03,1.03,False,5,0,0,750.00,System,0.01,0.06,0.5,180.00,
1414696042670,1.00,0.00,-1.48,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.20,1.02,2.05,False,5,0,0,750.00,System,0.05,0.04,0.5,180.00,
1414696043023,1.00,0.00,-9.34,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.20,0.97,3.26,False,5,0,0,750.00,System,0.09,0.04,0.5,180.00,
1414696043174,1.00,0.00,-24.10,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.33,1.01,2.72,False,5,0,0,750.00,System,0.15,0.06,0.5,180.00,
1414696043288,1.00,0.00,-7.88,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.73,1.03,0.80,False,5,0,0,750.00,System,0.12,0.06,0.5,180.00,
1414696043407,-1.00,0.00,15.46,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.35,1.03,-0.28,False,6,0,0,750.00,System,0.03,0.03,0.5,180.00,
1414696043519,1.00,0.00,13.69,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.28,1.03,0.43,False,5,0,0,750.00,System,0.02,0.02,0.5,180.00,
